place_id,name,rating,review_count,price_level,address,phone_number,latitude,longitude,business_status
ChIJjUWFXBCQREgR2VtpFxtcD1I,Cafe Mexicana,4.5,1708,2,"Carey's Ln, Centre, Cork",+353 21 427 6433,51.8988373,-8.4737949,OPERATIONAL
ChIJHV3oLEGRREgR5LiLB9OQO40,The Old Town Taqueria @ Black Dog,4.5,70,,"53 N Main St, Centre, Cork",+353 21 239 3375,51.8987301,-8.4773791,OPERATIONAL
ChIJY5iHQg-QREgRUCWbIKhAapE,Tequila Jack's Mexican Restaurant & Tequila Bar,4.2,2149,2,"City Quarter, Lapp's Quay, Centre, Cork",+353 21 202 1002,51.8986977,-8.4645287,OPERATIONAL
ChIJFXmmMTCPREgR-GjjjR-zVUA,Lucha Libre,5,114,,"Comercial Park, Link Rd, Ballincollig, Cork",+353 85 120 0989,51.8870181,-8.5815061,OPERATIONAL
ChIJQdzCopCbREgRfZ8MGu7glD8,The Black Market,4.6,553,,"Dornan's Yard, The Black Market, Monahan Rd, Ballintemple, Cork",+353 83 208 8269,51.8959368,-8.443586,OPERATIONAL
ChIJm_wRO0ePREgR6mzf64HLCqg,The Flying Burrito Food company,4.4,13,,"Togher Industrial Estate, Cork",+353 85 231 9309,51.873785,-8.4841454,OPERATIONAL
ChIJq9hrBU-RREgRq0qr9xwQ1rk,The Old Town Taqueria Café,4.3,70,,"5 Pembroke St, Centre, Cork",+353 21 234 4428,51.8976685,-8.4699271,OPERATIONAL
ChIJtYH14A-QREgRPjHlzzZpDPw,Boojum,4.3,1607,1,"7 Winthrop St, Centre, Cork",+353 21 424 8843,51.898456,-8.4707107,OPERATIONAL
ChIJXd9jGQCbREgRm_yRYaVeY7c,La Cantina Company,4.8,58,,"Centre Park Rd, Ballintemple, Cork",,51.8985527,-8.4519873,OPERATIONAL
ChIJAV7XhiuQREgR-4DzRf0nyQE,Zambrero,4.2,583,1,"32 The Yarlington, Dennehys Cross, Cork",+353 21 229 1801,51.8891512,-8.5058078,OPERATIONAL
ChIJb8ljlUGDREgRq_5wWg_wElI,The Mex,4.4,113,,"14 Pearse Square, Kilgarvan, Cobh",,51.8506379,-8.2942922,OPERATIONAL
ChIJRYaXXlqFREgReafcfXS58Q4,La Calavera Burrito Bar,4.1,312,1,"21 Paul St, Centre, Cork",+353 21 480 2260,51.898893,-8.475766,OPERATIONAL
ChIJ5w0jRQCbREgRUUBNeBn-A78,Burritos and Blues,1.7,10,,"Ballintemple, Cork",+353 86 456 3655,51.8989291,-8.4522229,OPERATIONAL
ChIJoQePVRCQREgRm724lcBizy4,Burritos & Blues,4.3,551,,"8 9 Paul St, Centre, Cork",+353 86 456 3655,51.8992552,-8.4745763,OPERATIONAL
ChIJd6doSw-QREgRXnYPhLYHgMc,Cafe Gusto Lapps Quay,4.6,90,2,"City Quarter, Lapp's Quay, Centre, Cork",+353 21 422 4099,51.8986546,-8.4640173,OPERATIONAL
ChIJET6byaubREgRceAN3L8X7t4,Zambrero Little Island,4.6,58,,"Eastgate Business Park, Castleview, Cork",+353 21 451 0555,51.9042034,-8.3537782,OPERATIONAL
ChIJY3e4P32bREgRgFODNVW9rls,Brendans Burritos,4.2,24,,"Doran's Yard, The Black Market, Monahan Rd, Ballintemple, Cork",+353 87 622 7797,51.8963501,-8.4437852,OPERATIONAL
ChIJOX-bf_eFREgRTEoze4ZcwqE,Zambrero,4.2,89,,"Unit 18, Douglas, Corcaigh",+353 21 485 7851,51.8776824,-8.4372941,OPERATIONAL
ChIJ2TEpSheQREgRApQZYZ4l168,Liberty Grill,4.7,2128,2,"32 Washington St, Centre, Cork",+353 21 427 1049,51.8977446,-8.4780128,OPERATIONAL
ChIJ_xCpHqCRREgRczFjFdjosmU,The Bookshelf at The Elysian,4.4,626,2,"Unit 5, The Elysian, Eglinton St, Ballintemple, Cork",+353 21 431 1591,51.8969291,-8.4641514,OPERATIONAL
ChIJGa7Z1LyRREgR-XGYdylv56M,Blarney Burger,4.4,129,,"The Square, Monacnapa, Cork",+353 21 438 2582,51.933028,-8.5672947,OPERATIONAL
ChIJv9iM6geQREgReoxXhliPOTQ,Salt Food & Wine,4.5,729,2,"Victoria Rd, Ballintemple, Cork",+353 21 239 0430,51.8960696,-8.457116,OPERATIONAL
ChIJxQeRM9mRREgRoUvi1RxHxEA,Paladar,4.7,390,2,"6 Bridge St, Victorian Quarter, Cork",+353 21 229 0045,51.9012382,-8.4700411,OPERATIONAL
ChIJj418Tk-RREgRgn-09QjPFgM,GLOBE Restaurant and Bar,2.7,27,,"Lapp's Quay, Centre, Cork",+353 21 422 4900,51.8985552,-8.464876,OPERATIONAL
ChIJZSsGuoaRREgRn12P4PikyvM,Crème French Tacos,4.6,281,,"42B MacCurtain Street, Victorian Quarter, Cork",+353 89 233 6689,51.9016644,-8.4690516,OPERATIONAL
ChIJX-XZw7CRREgRvDBUZM7zX-w,Oak Fire Pizza - Princes Street,4.5,822,2,"29 Princes St, Centre, Cork",+353 21 422 2871,51.8968954,-8.473154,OPERATIONAL
ChIJD2_uIgaQREgRW4F_NFZ4faA,The Idle Hour,4.5,293,1,"Albert Quay, Centre, Cork",+353 21 496 5704,51.8983068,-8.4611388,OPERATIONAL
ChIJEZv9QWORREgRcO-vRlyScaQ,Hungry Hippo Cork,4.2,232,,"1 Courthouse St, Centre, Cork",,51.8977851,-8.479445,OPERATIONAL
ChIJ6_8_EKSDREgRpCtE4x6lo7Q,Mimmos Take Away,4.4,100,1,"11-17 Casement Square, Ballyvoloon, Cobh",+353 21 481 1343,51.8503982,-8.2953493,OPERATIONAL
ChIJUROf0RCQREgRMRzrpMBJEcI,The Black Dog,4.4,592,2,"53 N Main St, Centre, Cork",+353 21 239 3371,51.8987288,-8.4773823,OPERATIONAL
ChIJ-7f75iOQREgRiBi_PY_lHXE,Cissie Youngs,4.6,381,2,"80 Bandon Rd, The Lough, Cork",+353 21 496 2773,51.8910177,-8.487962,OPERATIONAL
ChIJyV4HYg6QREgRBnKe2drYiT4,Hillbilly's MacCurtain Street,4.2,599,1,"47A MacCurtain Street, Centre, Cork",+353 21 450 9864,51.9016112,-8.4683633,OPERATIONAL
ChIJ41_3zlSFREgRmkNFZ4Mb31U,Oak Fire Pizza,4.4,244,2,"Unit 1, Village House, E Douglas St, Douglas, Cork",+353 21 436 4830,51.8770947,-8.434942,OPERATIONAL
ChIJLTejUkWFREgRsQ3sSQS8104,KC & Son & Sons,4.6,2466,1,"E Douglas St, Douglas, Cork",+353 21 436 1418,51.8775847,-8.4365418,OPERATIONAL
ChIJ7dpg0RCQREgR-6n1UjWVYfQ,Vicarstown Bar,4.4,799,2,"52 N Main St, Centre, Cork",+353 21 239 3375,51.8988137,-8.4774459,OPERATIONAL
ChIJ8ccq1hGQREgRCqgD-WQgOxQ,Luigi Malones Cork,4.4,2404,2,"1-2 Emmett Pl, Centre, Cork",+353 21 427 8877,51.9000053,-8.4724114,OPERATIONAL
ChIJZ2ww6b2bREgRGfOvPpO9LCY,Zambrero Sallybrook,4.1,8,,"Sallybrook, Glanmire",+353 21 485 8329,51.9405153,-8.3974617,OPERATIONAL
ChIJv1he8wqQREgRP_3tQAgQYw4,Goldbergs,4.4,893,2,"4 Victoria Rd, Centre, Cork",+353 21 496 5848,51.8980137,-8.4608941,OPERATIONAL
ChIJN6lTURCQREgRt-6ee_-SHTs,Koto,4.6,1150,2,"6 Carey's Ln, Centre, Cork",+353 21 427 4172,51.8989562,-8.4740205,OPERATIONAL
ChIJCQOcyBSPREgR16ji2jAKTCA,The Pavilion Garden Centre & Restaurant,4.4,779,,"Myrtle Hill, Ballyduhig South, Ballygarvan",+353 21 488 8134,51.8270151,-8.463784,OPERATIONAL
ChIJuduOEaSDREgRNll3i0iIq_w,Titanic Bar and Grill,4.3,1625,2,"20 Casement Square, Cobh",+353 21 481 4585,51.8499086,-8.2944993,OPERATIONAL
ChIJ48lqXlKbREgR7S_Ebex_chc,Buns & Dough,4.5,43,,"258 Old Youghal Rd, Mayfield, Cork",+353 21 455 3216,51.909324,-8.4544973,OPERATIONAL
ChIJ05XPl6ODREgRH5pYsavmmaY,The Quays Bar & Restaurant,4.2,1149,2,"Westbourne Pl, Ballyvoloon, Cobh",+353 21 481 3539,51.8490741,-8.2975258,OPERATIONAL
ChIJ78Kfm4ORREgRGZK76hfAr54,Bocelli Italian Kitchen & Wine Bar,4.4,1137,2,"1, 2, 3 Maylor St, Centre, Cork",+353 21 427 4537,51.8987105,-8.467856,OPERATIONAL
ChIJr82ICReQREgR6ykMzXeas1o,Woolshed Baa & Grill - Cork,4.3,943,2,"Mardyke Entertainment Complex, The, Sheares St, Cork",+353 21 427 3000,51.8981068,-8.4810963,OPERATIONAL
ChIJgQhB-g-QREgRkEizZ9TBaQk,Arthur Mayne's Pharmacy,4.5,1214,2,"7 Pembroke St, Centre, Cork",+353 21 427 9449,51.8975766,-8.4698784,OPERATIONAL
ChIJH1CFQw-QREgRDWQQ7a29dRk,Clayton Hotel Cork City,4.3,3205,,"10 Lapp's Quay, Centre, Cork",+353 21 422 4900,51.8986231,-8.4650268,OPERATIONAL
ChIJG9LbsBaQREgRvQRx5mJuyes,Supermac's & Papa John's Cork City,4,643,1,"1 n 6 N Main St, Centre, Cork",+353 21 494 4900,51.9008545,-8.4792517,OPERATIONAL
