name,city,rating,review_count,address,phone,url,description
Boojum,Dublin,4.3,192,"Millennium Walkway North City, 1 Republic of Ireland",35318729499.0,https://www.yelp.com/biz/boojum-north-city?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Boojum at Millennium Walkway North City, 1 Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 192 reviews."
El Grito Mexican Taqueria,Dublin,4.5,56,"20 Mountjoy Square E Mountjoy, 1 Republic of Ireland",35315584717.0,https://www.yelp.com/biz/el-grito-mexican-taqueria-mountjoy?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"El Grito Mexican Taqueria at 20 Mountjoy Square E Mountjoy, 1 Republic of Ireland in Dublin. Rating: 4.5 stars. Based on 56 reviews."
Boojum,Dublin,4.4,78,College Court Kevin Street Lower Dublin 8 Republic of Ireland,35318090077.0,https://www.yelp.com/biz/boojum-dublin-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Boojum at College Court Kevin Street Lower Dublin 8 Republic of Ireland in Dublin. Rating: 4.4 stars. Based on 78 reviews.
Pablo Picante,Dublin,4.0,93,Clarendon Market Dublin 2 Republic of Ireland,35316334245.0,https://www.yelp.com/biz/pablo-picante-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Pablo Picante at Clarendon Market Dublin 2 Republic of Ireland in Dublin. Rating: 4.0 stars. Based on 93 reviews.
Burritos & Blues,Dublin,3.8,95,2 Wexford Street Dublin 2 Republic of Ireland,353863000500.0,https://www.yelp.com/biz/burritos-and-blues-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Burritos & Blues at 2 Wexford Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.8 stars. Based on 95 reviews.
Pablo Picante,Dublin,3.5,47,14 Aston Quay Dublin 2 Republic of Ireland,35316799305.0,https://www.yelp.com/biz/pablo-picante-dublin-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Pablo Picante at 14 Aston Quay Dublin 2 Republic of Ireland in Dublin. Rating: 3.5 stars. Based on 47 reviews.
Little Ass Burrito Bar,Dublin,4.1,20,"10 Rathgar Road Rathmines Rathgar, 6 Republic of Ireland",35314967714.0,https://www.yelp.com/biz/little-ass-burrito-bar-rathgar?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Little Ass Burrito Bar at 10 Rathgar Road Rathmines Rathgar, 6 Republic of Ireland in Dublin. Rating: 4.1 stars. Based on 20 reviews."
The Hungry Mexican,Dublin,3.8,24,5 Aston Quay Temple Bar Dublin 2 Republic of Ireland,353894502305.0,https://www.yelp.com/biz/the-hungry-mexican-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Hungry Mexican at 5 Aston Quay Temple Bar Dublin 2 Republic of Ireland in Dublin. Rating: 3.8 stars. Based on 24 reviews.
Saburritos,Dublin,2.9,8,17 Dame Street Dublin 2 Republic of Ireland,35318728527.0,https://www.yelp.com/biz/saburritos-dublin-4?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Saburritos at 17 Dame Street Dublin 2 Republic of Ireland in Dublin. Rating: 2.9 stars. Based on 8 reviews.
Tolteca,Dublin,3.2,67,21 Suffolk Street Dublin 2 Republic of Ireland,35316779506.0,https://www.yelp.com/biz/tolteca-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Tolteca at 21 Suffolk Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.2 stars. Based on 67 reviews.
El Patron,Dublin,4.1,9,4 King Street N Dublin 1 Republic of Ireland,35318747219.0,https://www.yelp.com/biz/el-patron-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,El Patron at 4 King Street N Dublin 1 Republic of Ireland in Dublin. Rating: 4.1 stars. Based on 9 reviews.
Cafe Azteca,Dublin,4.3,150,Dublin Republic of Ireland,,https://www.yelp.com/biz/cafe-azteca-dublin-3?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Cafe Azteca at Dublin Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 150 reviews.
The Boxty House,Dublin,4.3,1210,20-21 Temple Bar Dublin 2 Republic of Ireland,35316772762.0,https://www.yelp.com/biz/the-boxty-house-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Boxty House at 20-21 Temple Bar Dublin 2 Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 1210 reviews.
Boojum,Dublin,3.7,12,3 Abbey Street Lower Dublin Republic of Ireland,35318747237.0,https://www.yelp.com/biz/boojum-dublin-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Boojum at 3 Abbey Street Lower Dublin Republic of Ireland in Dublin. Rating: 3.7 stars. Based on 12 reviews.
Mama's Revenge,Dublin,3.8,74,12 Leinster Street S Dublin 2 Republic of Ireland,35316619289.0,https://www.yelp.com/biz/mamas-revenge-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Mama's Revenge at 12 Leinster Street S Dublin 2 Republic of Ireland in Dublin. Rating: 3.8 stars. Based on 74 reviews.
Pablo Picante,Dublin,3.7,68,131 Baggot Street Dublin 2 Republic of Ireland,35316629773.0,https://www.yelp.com/biz/pablo-picante-dublin-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Pablo Picante at 131 Baggot Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.7 stars. Based on 68 reviews.
Saburritos,Dublin,2.5,20,"3, North Earl Street, Dublin 1 Republic of Ireland",,https://www.yelp.com/biz/saburritos-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Saburritos at 3, North Earl Street, Dublin 1 Republic of Ireland in Dublin. Rating: 2.5 stars. Based on 20 reviews."
Tolteca,Dublin,3.3,44,38 Upper Baggot Street Dublin 4 Republic of Ireland,35316688604.0,https://www.yelp.com/biz/tolteca-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Tolteca at 38 Upper Baggot Street Dublin 4 Republic of Ireland in Dublin. Rating: 3.3 stars. Based on 44 reviews.
Boojum,Dublin,3.3,3,63 Mespil Rd Dublin 4 Republic of Ireland,35316676062.0,https://www.yelp.com/biz/boojum-dublin-7?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Boojum at 63 Mespil Rd Dublin 4 Republic of Ireland in Dublin. Rating: 3.3 stars. Based on 3 reviews.
Pablo's Tortas,Dublin,4.3,10,5 Clarendon Market Dublin 2 Republic of Ireland,35316334245.0,https://www.yelp.com/biz/pablos-tortas-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Pablo's Tortas at 5 Clarendon Market Dublin 2 Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 10 reviews.
Belly Bites Cafe,Dublin,3.0,4,80B Thomas Street Dublin Republic of Ireland,,https://www.yelp.com/biz/belly-bites-cafe-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Belly Bites Cafe at 80B Thomas Street Dublin Republic of Ireland in Dublin. Rating: 3.0 stars. Based on 4 reviews.
Tolteca,Dublin,2.8,14,40 Camden Street Dublin 2 Republic of Ireland,35315592114.0,https://www.yelp.com/biz/tolteca-dublin-4?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Tolteca at 40 Camden Street Dublin 2 Republic of Ireland in Dublin. Rating: 2.8 stars. Based on 14 reviews.
Boojum,Dublin,3.8,8,"Unit 19, Block C Smithfield Market Dublin Republic of Ireland",35318783305.0,https://www.yelp.com/biz/boojum-dublin-9?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Boojum at Unit 19, Block C Smithfield Market Dublin Republic of Ireland in Dublin. Rating: 3.8 stars. Based on 8 reviews."
777,Dublin,3.7,106,7 South Great George's Street Dublin 2 Republic of Ireland,35314254052.0,https://www.yelp.com/biz/777-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,777 at 7 South Great George's Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.7 stars. Based on 106 reviews.
Zambrero,Dublin,2.7,17,Vault 9 The Station Building Park Place Hatch Street Upper Dublin 2 Republic of Ireland,35315631800.0,https://www.yelp.com/biz/zambrero-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Zambrero at Vault 9 The Station Building Park Place Hatch Street Upper Dublin 2 Republic of Ireland in Dublin. Rating: 2.7 stars. Based on 17 reviews.
El Gringo Burrito,Dublin,4.0,1,Spar Capel Street Dublin 1 Republic of Ireland,,https://www.yelp.com/biz/el-gringo-burrito-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,El Gringo Burrito at Spar Capel Street Dublin 1 Republic of Ireland in Dublin. Rating: 4.0 stars. Based on 1 reviews.
Yamamori,Dublin,4.0,94,12-13 South Great George's Street Dublin 2 Republic of Ireland,35316458001.0,https://www.yelp.com/biz/yamamori-dublin-8?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Yamamori at 12-13 South Great George's Street Dublin 2 Republic of Ireland in Dublin. Rating: 4.0 stars. Based on 94 reviews.
Freshii,Dublin,4.0,5,Custom House Quay CHQ Building Dublin Republic of Ireland,,https://www.yelp.com/biz/freshii-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Freshii at Custom House Quay CHQ Building Dublin Republic of Ireland in Dublin. Rating: 4.0 stars. Based on 5 reviews.
El Gringo Burrito,Dublin,3.2,18,Green & Baker Food Village Stephen's Green Shopping Centre Dublin 2 Republic of Ireland,35312547820.0,https://www.yelp.com/biz/el-gringo-burrito-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,El Gringo Burrito at Green & Baker Food Village Stephen's Green Shopping Centre Dublin 2 Republic of Ireland in Dublin. Rating: 3.2 stars. Based on 18 reviews.
Ukiyo Bar,Dublin,3.9,92,7-9 Exchequer Street Dublin 2 Republic of Ireland,35316334071.0,https://www.yelp.com/biz/ukiyo-bar-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Ukiyo Bar at 7-9 Exchequer Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.9 stars. Based on 92 reviews.
Boojum,Dublin,3.0,1,"Castle House, 73-83, Unit 3 2 South Great George's Street Dublin 2 Republic of Ireland",35314254082.0,https://www.yelp.com/biz/boojum-dublin-11?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Boojum at Castle House, 73-83, Unit 3 2 South Great George's Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.0 stars. Based on 1 reviews."
Loco's Fresh Mexican Grill,Dublin,2.3,4,"7 The Hill Stillorgan Ballinteer, D16 YD68 Republic of Ireland",35312100500.0,https://www.yelp.com/biz/locos-fresh-mexican-grill-ballinteer-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Loco's Fresh Mexican Grill at 7 The Hill Stillorgan Ballinteer, D16 YD68 Republic of Ireland in Dublin. Rating: 2.3 stars. Based on 4 reviews."
Cocu,Dublin,4.2,26,"9 Baggot Street Upper Ballsbridge, 4 Republic of Ireland",353861303319.0,https://www.yelp.com/biz/cocu-ballsbridge?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Cocu at 9 Baggot Street Upper Ballsbridge, 4 Republic of Ireland in Dublin. Rating: 4.2 stars. Based on 26 reviews."
Maneki,Dublin,4.7,7,"43 Dawson Street Dublin 2, D02 NH42 Republic of Ireland",35315610889.0,https://www.yelp.com/biz/maneki-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Maneki at 43 Dawson Street Dublin 2, D02 NH42 Republic of Ireland in Dublin. Rating: 4.7 stars. Based on 7 reviews."
Rosie's Cafe,Dublin,4.1,35,1 Werburgh Street Christchurch Dublin 8 Republic of Ireland,35314021829.0,https://www.yelp.com/biz/rosies-cafe-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Rosie's Cafe at 1 Werburgh Street Christchurch Dublin 8 Republic of Ireland in Dublin. Rating: 4.1 stars. Based on 35 reviews.
Acapulco Mexican Restaurant,Dublin,3.1,101,7 South Great Georges Street Dublin 2 Republic of Ireland,35316771085.0,https://www.yelp.com/biz/acapulco-mexican-restaurant-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Acapulco Mexican Restaurant at 7 South Great Georges Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.1 stars. Based on 101 reviews.
Lunch!,Dublin,4.3,15,4 Lombard Street E Dublin 2 Republic of Ireland,35314743080.0,https://www.yelp.com/biz/lunch-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Lunch! at 4 Lombard Street E Dublin 2 Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 15 reviews.
Mosa Sushi Burrito,Dublin,3.0,3,2-3 Merchant's Arch Dublin 2 Republic of Ireland,353834744561.0,https://www.yelp.com/biz/mosa-sushi-burrito-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Mosa Sushi Burrito at 2-3 Merchant's Arch Dublin 2 Republic of Ireland in Dublin. Rating: 3.0 stars. Based on 3 reviews.
The Ramen Bar,Dublin,4.2,161,Kokoro 51 William Street S Dublin 2 Republic of Ireland,35315470658.0,https://www.yelp.com/biz/the-ramen-bar-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Ramen Bar at Kokoro 51 William Street S Dublin 2 Republic of Ireland in Dublin. Rating: 4.2 stars. Based on 161 reviews.
Coco & Green,Dublin,3.3,4,Heuston Station Dublin Republic of Ireland,,https://www.yelp.com/biz/coco-and-green-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Coco & Green at Heuston Station Dublin Republic of Ireland in Dublin. Rating: 3.3 stars. Based on 4 reviews.
The Wooden Spoon Cafe,Dublin,4.3,12,"3 Bath Place Blackrock, Co. Dublin Republic of Ireland",35312835120.0,https://www.yelp.com/biz/the-wooden-spoon-cafe-blackrock?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"The Wooden Spoon Cafe at 3 Bath Place Blackrock, Co. Dublin Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 12 reviews."
Cafe Sora,Dublin,3.8,8,77 Sir John Rogerson's Quay Dublin 2 Republic of Ireland,35315989890.0,https://www.yelp.com/biz/cafe-sora-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Cafe Sora at 77 Sir John Rogerson's Quay Dublin 2 Republic of Ireland in Dublin. Rating: 3.8 stars. Based on 8 reviews.
Cactus Jacks,Dublin,2.9,49,Millenium Walk Way Middle Abbey Street Dublin 1 Republic of Ireland,35318746198.0,https://www.yelp.com/biz/cactus-jacks-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Cactus Jacks at Millenium Walk Way Middle Abbey Street Dublin 1 Republic of Ireland in Dublin. Rating: 2.9 stars. Based on 49 reviews.
The Good Food Store,Dublin,3.9,9,24 South Great George's Street Dublin 2 Republic of Ireland,35314443877.0,https://www.yelp.com/biz/the-good-food-store-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,The Good Food Store at 24 South Great George's Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.9 stars. Based on 9 reviews.
Seven Wonders,Dublin,4.4,35,Excise Walk IFSC Dublin 1 Republic of Ireland,35316720212.0,https://www.yelp.com/biz/seven-wonders-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Seven Wonders at Excise Walk IFSC Dublin 1 Republic of Ireland in Dublin. Rating: 4.4 stars. Based on 35 reviews.
Stillorgan Orchard,Dublin,3.3,20,"1 The Hill Stillorgan, Co. Dublin Republic of Ireland",35312886793.0,https://www.yelp.com/biz/stillorgan-orchard-stillorgan-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,"Stillorgan Orchard at 1 The Hill Stillorgan, Co. Dublin Republic of Ireland in Dublin. Rating: 3.3 stars. Based on 20 reviews."
KC Peaches Cafe Dame Street,Dublin,4.0,61,54 Dame Street Dublin 2 Republic of Ireland,35316770333.0,https://www.yelp.com/biz/kc-peaches-cafe-dame-street-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,KC Peaches Cafe Dame Street at 54 Dame Street Dublin 2 Republic of Ireland in Dublin. Rating: 4.0 stars. Based on 61 reviews.
Mexico to Rome,Dublin,2.7,38,23 E Essex Street Temple Bar Dublin 2 Republic of Ireland,35316772727.0,https://www.yelp.com/biz/mexico-to-rome-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Mexico to Rome at 23 E Essex Street Temple Bar Dublin 2 Republic of Ireland in Dublin. Rating: 2.7 stars. Based on 38 reviews.
Crave Cafe,Dublin,3.8,12,79 S Great Georges Street Dublin 2 Republic of Ireland,,https://www.yelp.com/biz/crave-cafe-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Crave Cafe at 79 S Great Georges Street Dublin 2 Republic of Ireland in Dublin. Rating: 3.8 stars. Based on 12 reviews.
Irish Village Markets - Mespil Road,Dublin,4.3,11,Mespil Rd Dublin 4 Republic of Ireland,35312940793.0,https://www.yelp.com/biz/irish-village-markets-mespil-road-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA,Irish Village Markets - Mespil Road at Mespil Rd Dublin 4 Republic of Ireland in Dublin. Rating: 4.3 stars. Based on 11 reviews.
